c A SAT instance generated from a 3-CNF formula that had 90 clauses and 32 variables
p cnf 32 90
15 4 3 0
-20 30 31 0
-31 5 -17 0
-2 23 -7 0
10 7 6 0
-29 -19 -32 0
-17 -11 18 0
25 -29 -22 0
26 -13 24 0
10 -20 -24 0
-12 17 13 0
-3 17 7 0
23 21 -32 0
-17 31 -8 0
-30 -26 21 0
-25 9 3 0
14 -16 -1 0
-8 -15 31 0
3 12 -9 0
-7 -23 22 0
-6 -19 24 0
1 18 29 0
19 27 -11 0
-29 21 28 0
-18 16 27 0
9 30 -15 0
-4 -16 -8 0
19 -3 6 0
-19 -25 8 0
-3 25 31 0
-7 31 -21 0
7 -6 -18 0
-15 18 5 0
10 13 2 0
22 -3 9 0
1 19 -15 0
8 2 -12 0
-32 -19 12 0
-32 17 12 0
-23 -2 8 0
-13 -23 -15 0
-5 21 30 0
1 6 -14 0
31 28 11 0
29 1 23 0
-27 -2 6 0
-13 -23 -32 0
11 18 27 0
-25 -16 2 0
-31 -16 -19 0
27 24 31 0
17 19 -16 0
12 32 7 0
22 25 27 0
13 19 -15 0
-23 24 -31 0
22 -21 2 0
13 -22 -23 0
-30 -10 -26 0
21 -14 13 0
1 -13 28 0
-5 2 9 0
6 10 -30 0
30 12 22 0
25 -18 13 0
26 -3 21 0
-17 31 -14 0
-13 -27 3 0
-16 24 -6 0
5 -32 -28 0
1 -10 -27 0
-21 20 -17 0
-16 -11 5 0
-6 9 -15 0
28 -23 19 0
18 9 -31 0
-2 -18 -15 0
-19 1 -14 0
-4 -12 18 0
-2 32 14 0
-11 13 10 0
30 -19 -18 0
-12 -9 -6 0
18 -9 -12 0
-24 5 14 0
22 10 23 0
-18 17 19 0
18 -6 -22 0
-22 7 12 0
-28 25 -14 0
