c A SAT instance generated from a 3-CNF formula that had 120 clauses and 32 variables
p cnf 32 120
17 7 27 0
-22 3 -1 0
-6 -18 23 0
17 16 -13 0
27 16 -4 0
20 -26 27 0
29 20 -9 0
10 -2 -26 0
15 -28 21 0
-23 16 -26 0
25 -31 -14 0
7 11 -8 0
-4 -20 7 0
13 -21 -3 0
18 -28 -26 0
15 -26 -29 0
-22 -17 32 0
31 1 -18 0
-23 5 28 0
14 17 -6 0
24 25 11 0
-29 10 5 0
26 -19 -1 0
-16 -15 -17 0
-20 -10 -26 0
-29 31 18 0
-12 1 -10 0
-29 -12 9 0
32 24 25 0
23 2 -5 0
31 14 -15 0
-14 21 -10 0
6 -27 -9 0
-30 5 -14 0
-18 9 11 0
22 14 24 0
19 -2 4 0
-23 27 -24 0
2 13 3 0
18 -16 15 0
-23 5 -30 0
24 21 27 0
19 6 -31 0
5 -14 4 0
-22 8 -30 0
2 -3 31 0
-13 -1 15 0
3 32 -11 0
31 -2 3 0
17 27 -11 0
24 30 9 0
30 26 -29 0
-19 -9 -5 0
3 -10 -21 0
32 28 -18 0
2 -17 14 0
-21 -30 -4 0
-11 -8 31 0
-30 2 31 0
-9 -21 3 0
14 27 -5 0
-15 7 -17 0
15 19 16 0
29 15 -22 0
-1 10 18 0
25 -5 -16 0
-30 8 31 0
30 -8 -6 0
-9 10 4 0
31 -10 -16 0
15 16 28 0
-8 30 -31 0
-7 4 -5 0
14 -6 -25 0
24 17 28 0
-14 -24 17 0
-28 -5 -6 0
-21 -23 -12 0
16 -18 -20 0
-29 -3 22 0
-12 29 -23 0
-25 -30 -23 0
29 12 7 0
-29 -3 14 0
-27 5 2 0
-27 -19 2 0
-22 26 -21 0
-30 17 -13 0
17 2 7 0
2 23 24 0
-25 -29 13 0
1 -23 26 0
30 11 -3 0
14 -23 29 0
24 18 -17 0
-14 27 -11 0
32 28 31 0
-32 24 -1 0
28 14 -13 0
-5 -17 -29 0
9 32 14 0
-17 -30 -24 0
8 -15 -18 0
25 -2 16 0
-5 32 16 0
-6 30 26 0
-32 -18 2 0
27 30 -12 0
-21 -2 11 0
16 -31 10 0
17 -8 -20 0
24 -17 -20 0
-31 -11 -5 0
-24 -12 21 0
25 -17 20 0
9 -6 14 0
26 -7 -11 0
26 6 -22 0
16 -11 -18 0
25 -12 -28 0
