c A SAT instance generated from a 3-CNF formula that had 130 clauses and 32 variables
p cnf 32 130
-3 -2 8 0
-13 -30 24 0
24 19 -31 0
-12 22 15 0
32 12 2 0
-2 21 -8 0
-13 -30 -19 0
32 -16 29 0
-11 1 12 0
31 4 -10 0
24 2 -19 0
-32 24 4 0
-12 -21 -9 0
-31 -7 -1 0
1 13 -19 0
-11 31 -1 0
7 -15 14 0
28 -22 -23 0
-8 -9 32 0
20 -13 -9 0
23 4 11 0
6 -1 -10 0
-18 -16 -15 0
-22 6 25 0
27 28 16 0
-3 -12 28 0
-17 5 -23 0
-25 -8 -5 0
-24 -13 -30 0
14 6 4 0
-1 -17 2 0
32 29 4 0
-12 11 -31 0
-14 19 -22 0
4 -9 -21 0
13 -5 -10 0
-22 30 -29 0
-31 32 -14 0
6 -2 -29 0
6 14 2 0
-5 30 -11 0
-16 -8 -23 0
-14 31 22 0
25 -14 10 0
-19 18 -16 0
-4 18 29 0
-6 12 9 0
-22 -27 25 0
2 -21 1 0
-27 -32 4 0
27 -6 1 0
-1 -16 -10 0
4 13 -16 0
31 23 -11 0
18 17 26 0
3 -9 -16 0
-17 -25 -13 0
32 4 -26 0
21 12 11 0
-1 21 -11 0
29 16 30 0
-6 28 -9 0
-19 25 14 0
-8 -7 14 0
-32 -3 -22 0
-28 3 31 0
-17 -3 -19 0
-8 -19 -31 0
4 18 24 0
-6 -5 -10 0
-18 27 14 0
-3 -4 -28 0
7 -24 -19 0
4 2 -20 0
24 -18 -19 0
-31 -29 19 0
31 -9 -12 0
11 -19 -17 0
20 -4 29 0
18 -2 12 0
-2 -4 -17 0
-21 -11 2 0
19 11 -25 0
21 14 -16 0
29 30 -7 0
-17 18 8 0
6 -7 3 0
21 -26 -7 0
-29 32 -7 0
22 4 3 0
-17 26 9 0
28 9 -15 0
-1 26 -10 0
-17 20 21 0
14 -32 29 0
27 9 -32 0
-22 -11 -20 0
14 -26 21 0
-29 -17 -28 0
21 25 -30 0
26 -12 -7 0
2 21 -24 0
32 25 -11 0
32 1 -24 0
-9 15 20 0
-15 29 17 0
-26 13 10 0
7 -22 -18 0
15 -21 -4 0
-20 -31 16 0
20 7 26 0
14 1 6 0
-29 15 -30 0
-13 -18 -8 0
-6 23 19 0
-10 27 31 0
19 9 -20 0
-3 -30 12 0
7 18 -23 0
23 -29 -7 0
29 -24 -20 0
27 -25 32 0
23 -2 -30 0
-24 3 -12 0
-2 -21 -11 0
-23 -12 -29 0
32 28 22 0
15 -22 -11 0
-29 -30 16 0
8 -20 -3 0
