c A SAT instance generated from a 3-CNF formula that had 100 clauses and 32 variables
p cnf 32 100
15 -6 -4 0
-22 -31 -18 0
30 26 1 0
-2 -32 22 0
-12 3 -9 0
26 18 -24 0
21 -4 -29 0
-22 -17 29 0
9 14 12 0
-3 5 21 0
6 -5 29 0
12 -9 26 0
-6 27 30 0
24 -9 6 0
-3 -2 13 0
-29 -31 8 0
-22 -1 -16 0
-32 -25 11 0
30 -9 4 0
-10 14 8 0
-18 -19 -31 0
-1 21 19 0
-12 29 22 0
-13 9 4 0
-11 -16 -6 0
13 19 -27 0
25 -32 -12 0
-1 -7 -12 0
19 -29 2 0
31 9 -23 0
1 20 4 0
-1 -2 8 0
17 29 14 0
-14 9 5 0
-10 -7 -14 0
5 -14 -20 0
9 -2 -22 0
-7 25 15 0
-6 28 14 0
8 11 23 0
5 23 -26 0
-19 -24 26 0
11 13 -15 0
-6 2 -27 0
27 23 -18 0
32 28 26 0
14 21 17 0
21 -26 -1 0
5 9 -8 0
-2 29 -22 0
10 15 -1 0
-25 14 6 0
29 1 -26 0
8 24 32 0
-25 -18 -3 0
-2 3 9 0
29 -22 20 0
20 -3 -31 0
-16 4 26 0
15 -30 -23 0
19 -23 -31 0
5 25 -29 0
-17 -21 -6 0
8 19 -30 0
1 -10 -6 0
20 30 -27 0
-21 22 11 0
32 16 9 0
27 -15 -11 0
15 -9 22 0
-8 -30 -2 0
6 1 -17 0
15 -1 -5 0
30 -8 11 0
24 2 -25 0
-3 -23 -29 0
-6 -20 2 0
-12 19 18 0
1 -7 -15 0
18 -9 -20 0
1 -23 31 0
24 -32 -10 0
16 -30 8 0
-24 -23 -10 0
-13 24 19 0
-9 18 2 0
5 22 14 0
-4 -12 -16 0
12 2 -10 0
2 17 -18 0
-20 -5 -29 0
8 32 17 0
-32 -16 -8 0
23 -11 3 0
23 -25 -1 0
-4 -5 18 0
-19 14 20 0
14 29 8 0
-27 16 20 0
8 30 5 0
