c A SAT instance generated from a 3-CNF formula that had 600 clauses and 128 variables
Exactly-1
p cnf 128 600
40 64 -61 0
-110 14 87 0
-31 -63 -85 0
99 -102 -32 0
-78 27 115 0
-86 21 107 0
-5 -91 118 0
-49 -4 -101 0
-117 46 -100 0
-36 75 11 0
36 44 123 0
-39 128 -127 0
94 100 99 0
13 -25 -8 0
-52 -44 77 0
-5 -18 -40 0
12 -89 -98 0
-39 83 -18 0
87 84 117 0
42 -116 -60 0
2 -64 -62 0
9 78 118 0
84 -1 -92 0
77 -4 98 0
-82 22 -124 0
-91 -35 -21 0
52 -114 -22 0
10 119 -15 0
25 -10 127 0
-18 -45 73 0
1 -105 -80 0
37 100 26 0
-56 22 -71 0
7 -105 114 0
104 76 -8 0
-49 114 111 0
-92 80 23 0
-58 87 -2 0
93 118 -46 0
-110 -62 -88 0
41 55 -43 0
-107 123 -109 0
112 8 -47 0
-50 73 -51 0
-108 -1 -36 0
124 94 -102 0
-120 -5 56 0
-96 -81 39 0
-23 -117 -72 0
81 -49 90 0
81 87 12 0
-108 89 -116 0
87 32 81 0
12 -75 -101 0
-9 -21 -14 0
64 -60 -94 0
-34 104 90 0
20 120 85 0
-128 116 16 0
118 -83 48 0
-127 -43 17 0
96 45 -41 0
-43 72 23 0
-39 110 -127 0
24 1 16 0
84 -45 115 0
52 66 108 0
-88 52 -128 0
67 -21 86 0
-19 102 -43 0
82 -72 -9 0
111 94 118 0
-61 14 84 0
124 -51 55 0
64 25 93 0
-111 -28 55 0
21 47 61 0
-127 74 -47 0
-39 63 106 0
17 61 -67 0
-15 38 99 0
-23 101 -54 0
-30 77 -7 0
-37 100 88 0
-65 -4 125 0
98 -38 52 0
120 59 -26 0
106 -105 -113 0
30 78 10 0
94 51 -71 0
-1 -40 13 0
-62 68 47 0
54 27 -88 0
73 64 62 0
20 -34 -98 0
40 -36 -78 0
-79 -78 110 0
-98 -19 61 0
-99 16 50 0
79 -113 59 0
54 101 99 0
103 -116 -113 0
-84 -8 -27 0
57 68 77 0
-83 -43 44 0
-91 46 -108 0
84 -31 89 0
126 107 -108 0
105 86 102 0
-73 -27 -65 0
45 60 3 0
-108 -12 29 0
-18 86 79 0
45 41 -42 0
-32 70 -81 0
-111 -125 60 0
-79 92 -97 0
-106 -102 1 0
-98 117 31 0
-122 120 15 0
120 59 -75 0
94 -29 39 0
-40 123 27 0
-107 106 -102 0
-58 6 -123 0
-75 -32 -72 0
21 -90 60 0
-61 -96 106 0
-104 21 -63 0
61 111 -121 0
-118 7 -120 0
45 22 67 0
-117 37 -42 0
25 39 -95 0
48 -115 49 0
12 -121 15 0
-124 123 -57 0
56 39 -116 0
-28 44 47 0
89 66 12 0
78 -89 -5 0
-53 -9 -70 0
109 -25 65 0
20 -14 109 0
1 -71 -23 0
94 76 -113 0
96 -42 -54 0
-123 56 -118 0
9 -18 54 0
68 -48 -72 0
-68 -76 -63 0
24 -47 -80 0
-17 -100 48 0
-39 -70 77 0
82 -37 -42 0
-77 -103 -41 0
85 107 14 0
53 -104 -19 0
116 -46 -4 0
-57 -33 19 0
-57 -111 -46 0
-26 28 -42 0
85 68 90 0
10 -111 123 0
31 127 -71 0
-9 105 -95 0
2 -124 1 0
93 64 33 0
115 -48 63 0
-86 15 87 0
-37 95 -66 0
-67 -121 -23 0
90 -59 -126 0
-66 -91 -106 0
128 -14 -46 0
-56 5 26 0
88 -74 45 0
20 -90 109 0
-100 -11 97 0
97 -82 -128 0
-89 -117 -49 0
-125 -126 59 0
114 51 -20 0
67 -39 -44 0
88 -19 -33 0
-120 105 -48 0
98 15 -120 0
-103 -35 33 0
112 18 30 0
58 13 -14 0
100 -9 128 0
-2 -50 -30 0
55 -106 42 0
-27 -79 112 0
-64 -62 76 0
91 85 49 0
-3 105 -78 0
55 52 -41 0
121 118 35 0
-59 -102 93 0
-8 -30 59 0
27 109 -56 0
-46 -2 -65 0
31 13 43 0
-84 98 5 0
76 35 113 0
15 -94 125 0
-87 68 124 0
37 45 52 0
112 -84 -5 0
-88 35 -36 0
-85 -105 -117 0
-40 87 74 0
-39 -78 -73 0
65 -108 -78 0
10 -1 -70 0
-20 -71 4 0
-116 24 74 0
-50 115 4 0
13 126 -110 0
24 50 -52 0
-64 4 -115 0
74 -89 -81 0
-68 81 -98 0
35 -113 -61 0
30 122 109 0
-102 86 -36 0
101 -125 70 0
123 -40 -74 0
-24 113 102 0
103 36 -56 0
-46 53 115 0
-75 55 84 0
83 -3 -15 0
21 -30 -7 0
-2 -93 -96 0
-84 94 93 0
48 108 50 0
53 125 84 0
30 -126 -74 0
-74 -99 127 0
-109 3 16 0
-74 87 66 0
-90 85 63 0
-14 -98 -30 0
86 118 110 0
109 60 46 0
-106 -118 64 0
26 -97 107 0
-4 -82 35 0
-64 101 102 0
-52 -60 -67 0
-35 -47 73 0
-114 98 -27 0
-24 90 16 0
26 122 93 0
-70 -99 -125 0
112 -54 24 0
-2 -96 120 0
113 -110 116 0
30 12 -94 0
66 123 80 0
-62 3 -67 0
78 17 60 0
117 -90 122 0
-107 101 71 0
-110 30 84 0
60 65 -10 0
127 -48 -18 0
97 65 -3 0
70 124 27 0
42 -124 61 0
-90 60 -20 0
12 120 106 0
57 54 116 0
22 -124 127 0
103 116 107 0
-8 94 -55 0
-42 83 4 0
-54 6 -28 0
81 -65 -29 0
-90 102 -13 0
100 -98 -10 0
-75 88 -43 0
80 21 4 0
-3 -63 -56 0
-127 -95 -52 0
-116 4 91 0
59 50 -100 0
59 13 -70 0
-94 28 27 0
-123 95 1 0
102 83 120 0
21 98 11 0
118 77 76 0
-77 -23 53 0
106 11 35 0
8 -125 -118 0
37 69 -95 0
-4 47 -113 0
-101 96 -122 0
2 -60 -34 0
-82 -84 126 0
112 84 76 0
91 -114 -102 0
-74 -97 102 0
-29 -48 25 0
59 -87 75 0
-54 -89 -39 0
-19 15 -125 0
-94 61 40 0
4 13 114 0
-94 -48 121 0
119 -63 5 0
111 115 28 0
-50 70 31 0
-32 -64 -12 0
-87 119 -121 0
-100 10 -59 0
113 26 -86 0
91 6 118 0
54 5 -25 0
-103 37 61 0
-45 93 97 0
-115 -95 45 0
-78 -20 79 0
-6 -107 61 0
-124 63 -43 0
60 -93 -96 0
97 -62 53 0
-48 49 -24 0
33 114 -72 0
-103 -87 125 0
-108 -20 -46 0
-38 93 39 0
-125 -126 19 0
53 80 54 0
90 15 -110 0
93 23 68 0
-56 74 105 0
49 -83 -40 0
123 -67 68 0
-65 -106 84 0
31 102 12 0
-27 -31 -4 0
-86 -126 30 0
-93 -46 78 0
43 -89 104 0
-63 -124 -71 0
72 77 -113 0
-23 -73 -109 0
-101 51 67 0
-113 -15 -94 0
-7 -50 72 0
-126 -123 5 0
65 68 126 0
-16 -63 -52 0
22 59 -29 0
77 56 -51 0
-74 68 -91 0
-95 -11 126 0
89 -65 -71 0
-93 45 -82 0
-110 50 33 0
35 45 -86 0
-103 -91 42 0
-56 -126 -16 0
