c A SAT instance generated from a 3-CNF formula that had 800 clauses and 128 variables
Exactly-2
p cnf 128 800
9 -70 66 0
-50 -42 69 0
-70 31 -45 0
-107 50 6 0
125 85 122 0
-106 22 67 0
117 57 41 0
108 -93 -111 0
-47 50 126 0
-52 -51 91 0
-42 -18 88 0
-22 -78 82 0
-39 94 -44 0
120 -119 -93 0
-6 -107 -26 0
-93 111 -108 0
-112 -36 87 0
-120 126 116 0
-80 35 83 0
88 -124 -17 0
-99 -72 58 0
13 -99 51 0
44 13 122 0
-9 -11 92 0
-38 86 21 0
-79 127 49 0
-101 -78 -82 0
3 75 -51 0
20 -31 -33 0
118 62 43 0
30 -54 106 0
80 -97 107 0
-21 85 96 0
-96 58 -41 0
104 83 19 0
-25 35 -126 0
-55 -62 60 0
-10 56 25 0
2 -59 -54 0
120 -50 114 0
81 -59 74 0
-27 -64 -15 0
-105 48 -97 0
-32 55 -15 0
-32 20 80 0
-67 -22 -7 0
86 -118 -5 0
90 88 20 0
116 -75 49 0
51 112 -3 0
17 34 -61 0
107 -30 42 0
-45 113 -73 0
108 -81 98 0
78 -51 10 0
49 63 -31 0
-24 -87 82 0
118 -62 120 0
64 -49 -62 0
-106 84 51 0
26 25 -54 0
54 98 103 0
73 98 128 0
68 -10 75 0
-112 82 63 0
-22 25 -64 0
113 -8 72 0
-101 121 -117 0
-35 123 -82 0
88 119 -9 0
-63 29 -101 0
91 42 89 0
-62 34 87 0
-77 -16 75 0
95 85 27 0
-6 -99 11 0
-41 3 -91 0
-88 64 -101 0
66 11 -48 0
-85 -63 -7 0
-93 61 42 0
109 -20 92 0
11 -112 -20 0
24 -126 54 0
-112 119 -6 0
120 65 124 0
71 38 124 0
73 74 72 0
23 -13 -31 0
86 94 13 0
-10 69 53 0
-77 -2 -62 0
66 68 118 0
-101 88 35 0
-78 -103 -18 0
-104 -72 114 0
55 -7 -41 0
-60 120 -101 0
-87 -70 -100 0
97 -127 -13 0
-106 77 69 0
36 -67 31 0
33 46 -39 0
-70 94 -29 0
-99 -45 90 0
-80 71 88 0
92 114 -90 0
71 -22 49 0
107 -29 -36 0
60 -26 30 0
-39 93 40 0
-59 -32 110 0
-49 62 34 0
-122 -117 5 0
112 -86 -110 0
3 -110 -51 0
-85 -80 67 0
-76 -49 -94 0
-5 26 -39 0
-107 -75 102 0
-71 122 126 0
-16 -53 66 0
114 115 -76 0
95 7 113 0
-5 119 8 0
34 21 -7 0
25 -5 -36 0
-80 58 73 0
9 -3 128 0
73 23 -13 0
37 -99 -67 0
-65 91 54 0
69 95 47 0
-117 -83 -54 0
-25 67 -96 0
-20 78 70 0
61 77 -104 0
-83 -105 55 0
92 87 -34 0
94 -89 37 0
5 -70 -55 0
-58 -76 -107 0
14 -24 -121 0
-114 -62 84 0
65 42 122 0
-18 58 -9 0
-10 115 92 0
-12 119 -86 0
-68 45 55 0
-14 -110 -84 0
-57 19 -105 0
-10 94 -72 0
88 -35 -24 0
-106 -9 -56 0
35 83 14 0
-65 -109 -84 0
31 -83 -100 0
-103 124 81 0
124 -4 70 0
109 -71 100 0
-96 -85 50 0
-100 3 54 0
93 -27 -20 0
-126 19 20 0
13 -17 -51 0
-115 -94 49 0
104 44 -31 0
-24 73 -92 0
-27 -34 126 0
-6 72 -120 0
66 56 98 0
84 86 -117 0
70 -19 -94 0
-48 28 -116 0
-24 -26 114 0
-96 -114 17 0
-61 -4 -82 0
-54 -126 60 0
127 -104 -35 0
-92 1 -94 0
-60 -36 82 0
-103 15 -109 0
-5 -46 8 0
76 49 26 0
40 108 -79 0
-7 -37 98 0
-5 52 24 0
-16 84 -101 0
-11 23 -33 0
54 -3 26 0
71 -72 -109 0
-23 56 -65 0
-96 -85 68 0
33 -62 -14 0
-96 -120 -122 0
97 -115 -12 0
-90 27 52 0
5 68 -87 0
-17 71 -64 0
84 -128 103 0
-93 -116 103 0
-23 125 -91 0
110 -69 70 0
75 55 -84 0
-114 121 -32 0
-33 111 -77 0
-81 30 104 0
122 -96 -40 0
-69 95 110 0
47 -118 -84 0
-50 119 -94 0
-102 84 28 0
125 5 -45 0
-111 -37 -84 0
-28 -55 -107 0
-127 -91 -18 0
-63 -100 -33 0
-18 -71 -11 0
-126 -91 109 0
-124 -87 -104 0
124 111 -76 0
-30 107 -19 0
37 89 -88 0
15 11 110 0
29 110 -23 0
-96 12 -97 0
113 -104 -85 0
-1 109 -61 0
-16 29 -114 0
13 -73 96 0
14 -27 42 0
-110 108 2 0
116 -107 86 0
-102 116 123 0
68 -113 -30 0
29 -98 2 0
-64 -39 25 0
-55 -115 -116 0
45 112 55 0
42 -110 -61 0
115 120 47 0
5 -102 30 0
32 108 102 0
-16 -118 110 0
113 -62 102 0
29 -104 -19 0
38 52 -122 0
44 -8 -45 0
52 -43 71 0
125 -29 66 0
89 -42 -58 0
-113 -63 -6 0
-8 49 -23 0
118 23 79 0
6 90 -12 0
101 -20 82 0
-103 -61 24 0
-116 95 -76 0
-114 24 -21 0
106 50 -57 0
54 113 85 0
22 -70 -93 0
-17 29 3 0
18 -83 63 0
87 53 -35 0
-11 82 -12 0
49 51 30 0
40 -98 -124 0
107 -65 86 0
127 -18 120 0
73 78 18 0
105 69 74 0
-96 -66 -57 0
50 104 -117 0
-14 98 -59 0
67 -41 -62 0
-120 -58 59 0
-86 70 110 0
66 60 16 0
-90 -97 86 0
-104 79 -4 0
-113 -80 77 0
-3 -109 -42 0
-52 -19 -28 0
-14 -9 51 0
-112 27 84 0
-91 10 -69 0
-64 32 -79 0
-122 114 -51 0
-67 -64 113 0
93 -13 74 0
99 56 125 0
-32 48 -116 0
11 -24 -48 0
92 -18 -76 0
9 -73 57 0
-94 -85 -45 0
106 -107 20 0
79 71 9 0
79 -23 -124 0
-18 -38 126 0
84 -80 86 0
73 13 -101 0
64 35 24 0
-46 -1 113 0
27 123 19 0
-115 82 47 0
121 95 86 0
-122 -55 59 0
27 -31 84 0
42 60 75 0
-51 -14 -105 0
85 -20 53 0
-94 88 108 0
34 -12 -128 0
3 -54 -102 0
-109 112 -48 0
-83 -22 -64 0
90 -29 55 0
-112 -86 -119 0
76 -54 -17 0
78 -32 -67 0
53 123 -29 0
-119 19 -24 0
-51 41 110 0
-82 -25 40 0
100 -66 -65 0
-9 -10 -39 0
100 -110 -58 0
-44 13 -89 0
65 -88 78 0
-125 41 25 0
39 100 33 0
119 -29 93 0
34 -4 -25 0
-108 81 82 0
44 109 -60 0
101 37 -36 0
60 -110 38 0
121 20 -123 0
113 -81 102 0
18 -8 124 0
58 24 -29 0
-35 46 12 0
62 -4 22 0
84 27 95 0
71 -6 -84 0
-73 -123 9 0
72 -91 -22 0
55 107 67 0
41 88 -114 0
105 -108 -38 0
-17 -84 24 0
-16 -8 -38 0
97 -93 57 0
-12 121 86 0
-19 -23 70 0
-25 -98 -22 0
-57 -64 -77 0
36 25 -106 0
68 21 127 0
-38 -13 -41 0
-116 106 5 0
-84 -2 -86 0
86 51 120 0
-70 -82 104 0
124 -103 -106 0
-16 -72 -4 0
-49 -13 104 0
-69 -9 108 0
-89 -8 -65 0
-110 -10 91 0
-76 -29 -40 0
96 -30 24 0
48 -11 28 0
-27 -99 40 0
2 19 -114 0
71 62 27 0
17 124 -116 0
84 -34 95 0
-42 108 27 0
-93 -57 38 0
101 -77 -26 0
-103 -99 114 0
-8 -128 -75 0
-124 -1 86 0
-70 85 -102 0
89 -128 -42 0
80 115 109 0
57 47 28 0
82 -101 -107 0
96 -54 -126 0
-18 4 114 0
90 107 -116 0
-32 33 42 0
1 109 -110 0
40 53 -81 0
-46 -50 -37 0
10 92 43 0
37 -13 -34 0
122 -115 -87 0
-125 20 -100 0
92 114 -53 0
37 5 -71 0
97 -31 110 0
31 106 49 0
-10 -114 -74 0
-74 -16 -65 0
-117 104 -29 0
-73 -15 -123 0
-122 -20 -30 0
-34 42 -5 0
-4 -29 -126 0
-66 -127 -121 0
57 93 11 0
14 -113 -98 0
77 -64 -32 0
91 -106 -111 0
-50 104 -92 0
-107 -54 -69 0
-14 -42 107 0
-27 71 -23 0
-85 17 19 0
-32 95 2 0
-8 -68 -44 0
82 -1 -77 0
-33 -56 -57 0
127 -39 -79 0
90 -74 -63 0
-95 -42 71 0
-24 -99 -15 0
41 -51 5 0
124 95 -99 0
-61 31 79 0
-13 18 113 0
-73 22 42 0
19 37 -32 0
79 -92 -100 0
-128 -4 25 0
-127 -67 -87 0
78 56 76 0
29 42 -68 0
64 61 -82 0
-11 91 -106 0
46 -53 97 0
-5 -11 -41 0
-99 -75 -12 0
124 118 90 0
-70 32 -1 0
-28 58 32 0
-44 88 -125 0
-122 -29 15 0
-117 96 -21 0
-70 51 50 0
58 -74 -3 0
-5 -47 -21 0
-103 94 -25 0
81 65 -14 0
86 -68 60 0
-110 -62 -76 0
104 -15 -72 0
-122 -104 -39 0
87 -128 -99 0
-114 -52 -15 0
-15 -49 -48 0
82 126 -54 0
32 105 -126 0
-112 -33 73 0
-42 -32 18 0
-96 112 -34 0
40 38 33 0
