c A SAT instance generated from a 3-CNF formula that had 900 clauses and 128 variables
Exactly-2
p cnf 128 900
-7 -111 -34 0
-24 91 108 0
3 -73 127 0
97 -124 -27 0
-119 63 -37 0
51 -18 -31 0
-37 -45 74 0
-93 88 -52 0
-54 -77 59 0
-47 -35 -62 0
73 9 -126 0
-105 31 -116 0
-33 2 -117 0
42 3 86 0
16 24 -66 0
-57 52 5 0
-128 27 96 0
-3 -33 -110 0
23 -3 78 0
-93 -125 -48 0
119 116 32 0
14 -7 116 0
-74 117 110 0
35 -41 73 0
-97 123 -39 0
88 -106 -34 0
69 -47 105 0
69 -65 99 0
-16 -67 -42 0
-29 -27 32 0
34 98 74 0
1 -72 -116 0
53 42 46 0
55 -18 -92 0
100 -70 7 0
56 -79 10 0
37 -123 80 0
-60 42 -58 0
12 108 62 0
-78 -85 -67 0
-108 -94 9 0
72 -71 -81 0
72 21 30 0
-89 121 8 0
90 -25 -23 0
100 26 86 0
34 -13 -17 0
86 -59 4 0
98 52 -92 0
127 -102 90 0
-34 108 -37 0
-20 73 -35 0
45 -93 32 0
54 -36 -71 0
90 -85 1 0
40 -48 -52 0
124 4 121 0
-85 92 55 0
97 -3 -8 0
-37 -67 -7 0
-108 -69 93 0
-99 107 110 0
68 46 84 0
41 -101 -62 0
43 10 -87 0
-108 37 62 0
-79 34 -72 0
-62 117 3 0
-80 118 -77 0
-97 124 80 0
49 -103 -66 0
-14 65 -69 0
-124 46 -73 0
-55 22 41 0
-92 60 94 0
-75 -91 86 0
118 61 -66 0
64 -118 -108 0
87 119 5 0
-38 -92 -4 0
6 72 17 0
-17 -46 -8 0
5 -91 -106 0
122 -24 48 0
-57 -112 -20 0
-101 38 60 0
-92 -34 62 0
10 77 -13 0
-67 -79 128 0
118 -51 -88 0
77 39 -2 0
-85 86 101 0
-81 -48 105 0
64 76 63 0
25 81 -80 0
39 103 -106 0
11 45 1 0
55 52 -56 0
-6 -50 116 0
-18 -13 -6 0
-113 -65 115 0
43 15 102 0
44 3 28 0
78 -54 -99 0
66 127 -99 0
20 90 84 0
100 -69 46 0
30 110 118 0
-127 -75 -3 0
-27 26 -8 0
47 -14 -42 0
34 112 24 0
108 117 3 0
14 -65 74 0
-73 29 61 0
-114 -41 76 0
14 59 -116 0
43 27 86 0
-89 110 -60 0
-25 62 8 0
