c A SAT instance generated from a 3-CNF formula that had 700 clauses and 128 variables
Exactly-1
p cnf 128 700
109 46 17 0
55 6 56 0
1 57 49 0
81 9 89 0
114 2 -73 0
-24 -50 -116 0
-127 90 -53 0
-109 -53 -17 0
111 41 -78 0
41 76 99 0
-123 105 97 0
-81 -50 80 0
50 117 19 0
-76 -58 -25 0
83 122 44 0
57 43 -61 0
-114 -127 -10 0
-60 33 113 0
99 75 67 0
97 -78 112 0
-91 90 -114 0
-5 -32 24 0
110 -105 -114 0
-83 82 -95 0
-108 -73 32 0
116 81 54 0
-112 33 35 0
44 -55 -36 0
-11 -124 9 0
-99 -55 -103 0
-26 -63 -30 0
8 -63 100 0
-124 78 -28 0
-123 -9 -23 0
-8 79 -114 0
105 -21 -23 0
113 67 -65 0
-93 95 53 0
58 88 -10 0
-82 -17 79 0
-33 -104 -101 0
-37 108 -51 0
5 113 -85 0
67 63 -70 0
-47 93 -16 0
120 99 111 0
-88 74 -18 0
-64 -94 -14 0
-28 -102 -125 0
113 61 80 0
-49 -118 -84 0
5 -26 118 0
-86 -90 -1 0
-58 120 11 0
-30 -105 28 0
-13 -12 48 0
-36 102 94 0
-31 88 -9 0
90 12 -42 0
92 117 91 0
-3 85 -49 0
-11 67 109 0
-54 119 -106 0
-40 -39 38 0
21 36 66 0
-62 78 -55 0
17 91 -60 0
-108 28 43 0
-121 112 -28 0
59 106 -95 0
-98 85 82 0
-69 -79 -55 0
-122 -117 12 0
-5 71 -81 0
121 127 40 0
64 -39 5 0
89 116 83 0
55 9 63 0
39 63 -119 0
-92 -55 -29 0
65 -124 -76 0
-64 120 10 0
-107 12 -94 0
38 -117 16 0
-18 95 -116 0
40 113 89 0
80 124 4 0
-27 -12 -123 0
-44 -128 -11 0
11 -45 61 0
119 117 99 0
-32 117 63 0
-89 -84 -87 0
-99 12 90 0
11 -58 65 0
-41 92 -58 0
29 63 113 0
-72 32 -84 0
-125 -93 75 0
-35 80 -48 0
-83 -76 -58 0
54 -125 9 0
59 36 -68 0
-54 -19 -7 0
21 46 61 0
31 26 79 0
45 29 -31 0
95 22 -57 0
-56 -37 30 0
33 107 -110 0
128 50 -91 0
67 95 -32 0
107 -121 103 0
-117 -27 113 0
-123 -77 -121 0
63 -27 25 0
-83 91 92 0
126 81 99 0
-73 84 -35 0
118 -53 98 0
66 56 -33 0
-120 45 -122 0
-24 -37 -53 0
-107 -104 -62 0
-58 -70 83 0
-46 12 72 0
-33 -101 -16 0
-89 -53 123 0
64 -7 -91 0
-43 -99 -49 0
120 126 21 0
71 120 33 0
121 31 -82 0
-120 113 -110 0
30 -21 26 0
-77 -62 -47 0
-14 74 96 0
-51 79 -123 0
2 -117 115 0
-52 29 -124 0
-82 19 -31 0
95 -102 -13 0
80 -68 -32 0
-107 -68 -26 0
-15 -50 118 0
100 -127 51 0
69 -71 72 0
-76 8 -31 0
-22 74 102 0
-123 126 72 0
-124 67 36 0
-99 -65 -74 0
-43 50 42 0
-76 22 116 0
58 118 -122 0
106 56 -115 0
-29 -10 -97 0
-118 92 72 0
53 114 -95 0
9 13 21 0
-127 110 -107 0
74 -61 100 0
32 -125 -60 0
20 109 123 0
73 -6 30 0
3 -28 44 0
72 27 -79 0
52 111 -126 0
-40 35 -71 0
19 -29 -69 0
13 59 -126 0
-40 3 -76 0
61 -21 -75 0
-110 -10 -37 0
47 -124 -109 0
90 61 -7 0
119 33 -12 0
-13 -71 -110 0
73 31 -75 0
100 98 67 0
-38 25 -96 0
-52 -30 31 0
-84 43 48 0
-2 31 -103 0
11 -66 29 0
-97 111 109 0
41 -67 47 0
-99 -122 16 0
120 -70 -41 0
-116 -82 -100 0
-82 56 59 0
-84 -71 105 0
-39 69 115 0
-23 69 -11 0
-41 86 48 0
24 -62 -93 0
-72 -52 -98 0
108 -57 56 0
-115 122 -5 0
-49 -3 59 0
117 49 -83 0
96 33 67 0
25 -30 32 0
29 -40 -126 0
47 -107 -52 0
63 -51 54 0
-16 21 -116 0
76 3 48 0
