c A SAT instance generated from a 3-CNF formula that had 500 clauses and 64 variables
p cnf 64 500
-59 36 -11 0
28 19 63 0
-26 8 2 0
53 5 18 0
-10 39 -8 0
64 58 -55 0
-59 33 5 0
19 41 -62 0
-28 32 50 0
16 54 50 0
-23 32 24 0
-61 51 -45 0
-50 -5 59 0
36 -50 -26 0
27 62 48 0
-28 -33 -35 0
44 33 14 0
34 53 -63 0
-19 -63 -36 0
34 56 -7 0
-7 -63 11 0
-18 34 63 0
14 -27 41 0
19 36 63 0
40 -64 9 0
2 28 25 0
49 -40 -55 0
-58 -24 -2 0
20 -53 31 0
47 -11 28 0
61 -46 -23 0
-37 17 -16 0
-44 -64 -50 0
27 -59 -60 0
20 56 28 0
40 -16 3 0
54 -50 -1 0
19 48 6 0
53 -4 55 0
-25 29 39 0
-13 17 -14 0
-64 -27 -59 0
22 -9 -40 0
44 30 -1 0
-31 46 -58 0
-64 -31 -51 0
24 -35 -26 0
48 -62 34 0
28 30 46 0
-14 38 64 0
43 -45 44 0
-62 30 -19 0
63 19 42 0
45 -54 -25 0
-32 61 30 0
-36 -15 33 0
52 -5 -25 0
-52 -47 11 0
62 25 -52 0
-43 -50 61 0
62 -2 36 0
63 15 -16 0
-4 46 -27 0
7 -60 -52 0
63 46 5 0
12 36 -23 0
-9 16 -17 0
-64 1 27 0
11 26 36 0
25 44 11 0
-18 33 -16 0
-36 -39 -53 0
-4 -9 11 0
-43 38 -20 0
-24 54 55 0
-25 52 -35 0
-36 -40 25 0
47 49 39 0
50 18 32 0
32 -27 58 0
7 -51 -4 0
64 21 -14 0
21 29 47 0
-31 -23 11 0
35 46 34 0
29 41 34 0
-10 -20 -28 0
13 -20 -45 0
-5 44 62 0
-58 -14 64 0
34 36 -45 0
-59 -21 -4 0
7 18 -21 0
-18 -52 13 0
7 -64 32 0
36 -43 -49 0
8 -45 48 0
7 49 -53 0
-48 43 59 0
-43 18 -16 0
15 50 -27 0
53 -14 43 0
41 22 -48 0
12 -28 -64 0
-2 -38 29 0
46 -7 38 0
55 13 59 0
-44 64 37 0
-45 -51 -48 0
38 12 -60 0
-51 -50 7 0
6 14 37 0
-30 -32 -15 0
3 -61 -62 0
3 23 45 0
26 19 61 0
-28 -41 -23 0
56 55 20 0
19 -26 30 0
-44 -28 -8 0
17 -60 5 0
3 39 -58 0
-50 -60 22 0
-8 -7 57 0
-41 -22 44 0
-7 -23 -32 0
60 3 56 0
61 52 43 0
-14 -4 43 0
62 57 19 0
-23 27 29 0
-19 -9 17 0
-60 -15 -55 0
40 11 37 0
39 -10 14 0
23 -12 28 0
25 45 -12 0
-38 -18 31 0
-41 17 28 0
53 -37 3 0
7 31 49 0
-43 1 8 0
26 30 5 0
-48 -41 55 0
-50 62 59 0
53 -38 35 0
-48 -20 13 0
46 -56 -10 0
27 41 60 0
39 -35 -34 0
33 -50 29 0
54 -52 -62 0
-16 -60 -56 0
-17 -54 -37 0
-50 60 -24 0
-14 -5 -35 0
21 -14 3 0
59 16 14 0
34 56 -64 0
19 -15 54 0
63 -48 5 0
7 -28 4 0
-56 48 44 0
38 -62 55 0
-35 56 47 0
-56 38 27 0
19 58 -18 0
-49 36 -53 0
-13 -56 61 0
54 -25 7 0
-26 38 -62 0
3 6 -39 0
-10 -17 -49 0
5 -45 -46 0
35 -39 12 0
-40 -3 8 0
-58 16 -43 0
61 25 55 0
-35 -1 18 0
-23 51 -1 0
-58 24 23 0
-26 -58 -12 0
-49 5 42 0
-34 55 17 0
-37 -23 7 0
-12 -1 -17 0
-62 20 58 0
55 -54 -6 0
56 -4 13 0
-49 23 -11 0
-51 -31 -43 0
4 39 -64 0
-20 -45 -42 0
-41 -26 -46 0
40 17 -36 0
42 24 47 0
-35 22 25 0
39 7 -18 0
-63 -14 -51 0
17 -11 39 0
64 -58 25 0
1 35 -28 0
9 -33 -26 0
42 -4 -46 0
-17 23 -27 0
-26 -40 33 0
-5 -57 53 0
46 -3 -9 0
-3 38 -64 0
-22 54 36 0
