c A SAT instance generated from a 3-CNF formula that had 600 clauses and 64 variables
p cnf 64 600
-56 15 38 0
57 40 -47 0
-51 23 53 0
-37 -47 61 0
55 64 40 0
-48 -26 42 0
15 -56 -38 0
-50 17 -31 0
-48 -11 -12 0
-9 12 59 0
60 -57 62 0
14 11 59 0
-46 58 22 0
62 2 9 0
-62 63 13 0
-39 42 30 0
58 22 35 0
-54 -16 62 0
35 52 23 0
19 22 -61 0
-57 42 47 0
-46 -12 -22 0
3 -37 51 0
-35 5 -2 0
-52 -3 4 0
19 22 -43 0
-64 -19 18 0
-22 37 -24 0
36 17 9 0
10 -7 -47 0
18 -37 55 0
-24 21 -60 0
59 -47 -48 0
42 61 39 0
-10 58 -55 0
16 -27 -60 0
59 32 28 0
-11 -54 -59 0
-9 -40 -18 0
-43 62 -59 0
-7 -26 -27 0
-10 33 47 0
-2 14 -49 0
51 -33 -43 0
-56 -9 -38 0
61 -17 -7 0
3 64 -61 0
5 -6 37 0
-55 41 -19 0
15 -58 -29 0
45 42 37 0
33 22 -4 0
22 21 -33 0
2 3 34 0
3 -61 7 0
-46 -14 -48 0
63 36 55 0
-16 37 -8 0
-44 51 56 0
40 -46 57 0
-47 -18 31 0
-58 -35 59 0
34 -48 3 0
57 32 51 0
-19 -36 -5 0
-17 23 -64 0
19 -39 -29 0
39 47 -51 0
-55 -24 21 0
-46 -47 -3 0
7 15 33 0
12 64 -54 0
-52 2 -9 0
-34 46 -18 0
48 59 -30 0
21 16 3 0
-9 61 -24 0
-37 -56 -1 0
-40 7 -45 0
52 41 22 0
-4 -58 47 0
-27 -15 -23 0
48 -32 20 0
-15 4 -6 0
62 51 -42 0
46 -29 44 0
-33 -2 -36 0
-56 24 51 0
56 59 34 0
-29 14 -1 0
10 -34 -23 0
-28 -5 -53 0
42 6 -21 0
32 27 3 0
21 -10 -52 0
-27 20 -6 0
-2 -49 5 0
-39 -46 20 0
42 -12 -35 0
-22 -21 1 0
-17 53 19 0
42 41 55 0
40 30 -57 0
-63 12 64 0
42 43 -57 0
-15 21 -42 0
53 -64 -30 0
54 26 51 0
42 -7 -43 0
48 -39 -28 0
-14 -58 -36 0
44 58 53 0
24 62 -6 0
32 28 -34 0
-9 31 -62 0
-43 29 -40 0
64 48 23 0
-64 39 -30 0
42 51 63 0
3 -58 32 0
43 58 -28 0
-16 20 -3 0
-41 20 -33 0
-41 -30 22 0
34 -64 42 0
42 35 17 0
-35 1 -38 0
1 31 43 0
