c A SAT instance generated from a 3-CNF formula that had 900 clauses and 64 variables
p cnf 64 900
-4 41 3 0
1 -7 -47 0
-8 15 -37 0
8 -48 -60 0
-42 -48 -54 0
64 -35 -20 0
-47 15 13 0
-39 -14 -16 0
-40 -41 50 0
25 -16 -39 0
-30 51 -28 0
1 30 -2 0
-17 9 -3 0
-25 -21 -40 0
-54 -23 16 0
-20 19 24 0
-14 -36 12 0
-14 -47 -20 0
-15 -40 -51 0
-62 45 26 0
5 3 30 0
-10 21 -36 0
-44 -5 -57 0
-4 26 32 0
39 47 -36 0
-3 -7 -58 0
22 20 -40 0
33 -22 56 0
47 -5 -17 0
12 59 -38 0
-7 -60 62 0
31 47 -27 0
28 -5 -54 0
-16 -22 61 0
-64 -63 -41 0
-7 -59 61 0
25 -2 -50 0
54 17 63 0
37 -4 18 0
6 23 61 0
-14 30 59 0
21 11 29 0
-13 26 62 0
-63 49 44 0
61 45 -44 0
-18 47 -26 0
-52 -20 15 0
22 33 -39 0
46 45 -9 0
-25 -26 47 0
19 -39 -51 0
64 54 -59 0
-30 -21 -44 0
-24 60 -37 0
-47 6 10 0
-59 -28 -34 0
-45 55 -49 0
-50 19 -34 0
10 -18 -8 0
-22 -57 -40 0
37 33 26 0
44 6 5 0
-24 14 46 0
41 -50 60 0
56 53 -41 0
8 10 -35 0
-16 5 55 0
-24 58 23 0
35 -15 -23 0
-10 18 -40 0
-14 -6 37 0
30 20 62 0
-36 -25 -34 0
20 -24 -9 0
-9 46 -18 0
-22 7 -51 0
56 58 -18 0
39 -38 -22 0
39 -44 -23 0
34 -6 -27 0
26 46 -59 0
-14 -13 -62 0
-12 4 -42 0
14 -57 -43 0
38 23 20 0
10 -29 45 0
57 -7 58 0
-28 61 59 0
-55 38 3 0
-40 -13 36 0
21 49 48 0
-51 30 46 0
45 57 31 0
-12 35 -19 0
55 -33 48 0
49 -42 -45 0
-15 42 -11 0
-32 45 -51 0
57 23 35 0
38 19 62 0
-22 -60 -33 0
-57 -23 43 0
6 4 41 0
61 -42 20 0
9 3 -49 0
-2 10 49 0
-39 60 28 0
44 13 -59 0
7 31 -47 0
22 -20 -33 0
-52 64 46 0
-23 -57 -58 0
-22 -42 -48 0
36 13 -6 0
36 -4 62 0
14 -58 -64 0
-44 5 26 0
-10 1 24 0
4 18 -58 0
-39 6 49 0
-43 31 -23 0
30 5 -21 0
4 -50 -11 0
-30 -47 -46 0
-52 10 37 0
56 -26 13 0
22 -18 -14 0
31 -9 -34 0
-15 -29 -59 0
