c A SAT instance generated from a 3-CNF formula that had 700 clauses and 64 variables
p cnf 64 700
-20 -34 4 0
-53 -49 44 0
-4 10 -29 0
54 -26 -17 0
-59 32 20 0
5 38 12 0
-46 -18 -3 0
15 56 -28 0
58 61 46 0
-46 51 40 0
-25 -44 -61 0
-20 -14 11 0
-20 -49 -8 0
23 37 17 0
-33 29 61 0
-35 27 -37 0
-63 25 50 0
-43 -27 -42 0
-12 18 54 0
-16 -51 19 0
58 28 -37 0
3 -14 48 0
32 -10 61 0
-33 14 -43 0
57 46 15 0
53 6 -29 0
-55 -64 1 0
42 31 64 0
-46 29 23 0
-17 44 -23 0
-51 42 -56 0
-32 -30 40 0
57 53 32 0
40 -54 -35 0
-47 6 -41 0
29 51 -34 0
-23 -32 -63 0
25 -64 38 0
5 8 -3 0
14 -6 56 0
-24 28 -39 0
-62 -36 41 0
51 -48 -31 0
-18 24 -25 0
-13 53 22 0
5 58 -29 0
-23 5 32 0
-20 -13 -15 0
-20 -51 55 0
-56 -7 29 0
-38 21 -14 0
48 22 -40 0
-39 54 16 0
-29 64 -36 0
-22 31 48 0
37 -6 59 0
-57 21 -43 0
63 -3 -58 0
10 7 -31 0
-33 -44 47 0
-61 14 8 0
-49 25 29 0
41 1 -58 0
-26 -43 -4 0
-60 -44 -29 0
17 -42 1 0
1 13 -64 0
61 -33 -21 0
64 12 29 0
-54 26 -25 0
48 -41 39 0
18 -15 -45 0
59 -20 64 0
-30 24 -38 0
-10 -26 36 0
9 -22 36 0
-6 -18 40 0
-8 44 -9 0
44 50 -7 0
-31 -24 51 0
-52 16 -17 0
58 -45 46 0
15 -54 -22 0
-3 28 -2 0
-53 31 -45 0
-25 -23 -21 0
10 57 44 0
31 -19 30 0
20 -60 11 0
31 -51 17 0
42 -41 63 0
13 -41 -55 0
-46 -45 12 0
59 -9 47 0
-42 13 9 0
-35 19 33 0
-9 30 24 0
31 53 -59 0
21 52 49 0
54 -60 10 0
36 -23 60 0
57 63 54 0
-55 -3 8 0
-52 -35 2 0
-11 -61 -6 0
-20 62 -54 0
-37 -63 44 0
-40 -62 -54 0
-24 56 22 0
56 31 9 0
47 -43 -17 0
8 42 -62 0
56 12 23 0
58 -18 -36 0
11 14 52 0
-44 18 -35 0
27 56 6 0
